event_id,employee_id,event_type,event_date,event_value,remarks
1,EMP001,Deployed,28-01-2023,Zephryn Technologies,Deployed on joining date
2,EMP001,Contract Renewal,27-07-2023,6 months extension,First renewal review
3,EMP001,Bill Rate Revision,28-01-2024,INR 1459.16,Annual rate revision
4,EMP001,Appraisal,28-01-2024,6.1%,Annual appraisal cycle
5,EMP001,Released,08-11-2023,Released,Personal reasons
6,EMP002,Bench Start,22-03-2023,10 days,Documentation Pending
7,EMP002,Bench End,01-04-2023,10 days on bench,Deployment commenced
8,EMP002,Deployed,01-04-2023,Orenvast Bank,Initial deployment
9,EMP002,Contract Renewal,28-09-2023,6 months extension,First renewal review
10,EMP002,Bill Rate Revision,31-03-2024,USD 13.98,Annual rate revision
11,EMP002,Appraisal,21-03-2024,12.3%,Annual appraisal cycle
12,EMP002,Contract Renewal,26-03-2024,6 months extension,Second renewal review
13,EMP003,Deployed,08-09-2023,Luminae Financial,Deployed on joining date
14,EMP003,Contract Closure,06-03-2024,Project ended,Project Completion
15,EMP003,Bill Rate Revision,07-09-2024,INR 3378.66,Annual rate revision
16,EMP003,Appraisal,07-09-2024,9.3%,Annual appraisal cycle
17,EMP003,Contract Closure,02-09-2024,Project ended,Project Completion
18,EMP003,Converted to FTE,31-12-2024,Converted to FTE,Contract ended
19,EMP004,Bench Start,10-09-2023,20 days,Client Budget Hold
20,EMP004,Bench End,30-09-2023,20 days on bench,Deployment commenced
21,EMP004,Deployed,30-09-2023,Luminae Financial,Initial deployment
22,EMP004,Contract Renewal,28-03-2024,6 months extension,First renewal review
23,EMP004,Appraisal,09-09-2024,11.4%,Annual appraisal cycle
24,EMP004,Resigned,13-07-2024,Resigned,Personal reasons
25,EMP005,Bench Start,15-12-2023,1 days,Client BGV Delay
26,EMP005,Bench End,16-12-2023,1 days on bench,Deployment commenced
27,EMP005,Deployed,16-12-2023,Orenvast Bank,Initial deployment
28,EMP005,Contract Closure,13-06-2024,Project ended,Client Decision
29,EMP005,Contract Renewal,10-12-2024,6 months extension,Second renewal review
30,EMP006,Bench Start,04-09-2023,15 days,Client Budget Hold
31,EMP006,Bench End,19-09-2023,15 days on bench,Deployment commenced
32,EMP006,Deployed,19-09-2023,Orenvast Bank,Initial deployment
33,EMP006,Contract Closure,17-03-2024,Project ended,Client Decision
34,EMP006,Bill Rate Revision,18-09-2024,USD 29.34,Annual rate revision
35,EMP006,Contract Closure,13-09-2024,Project ended,Budget Cut
36,EMP007,Bench Start,13-06-2024,2 days,Client BGV Delay
37,EMP007,Bench End,15-06-2024,2 days on bench,Deployment commenced
38,EMP007,Deployed,15-06-2024,Luminae Financial,Initial deployment
