record_id,employee_id,month,year,billing_status,billing_currency,bill_rate,billable_days,bench_days,monthly_revenue_inr,monthly_ctc_inr,bench_cost_inr,margin_inr,margin_pct
1,EMP001,Jan,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
2,EMP001,Feb,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
3,EMP001,Mar,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
4,EMP001,Apr,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
5,EMP001,May,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
6,EMP001,Jun,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
7,EMP001,Jul,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
8,EMP001,Aug,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
9,EMP001,Sep,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
10,EMP001,Oct,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
11,EMP001,Nov,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
12,EMP001,Dec,2023,Billable,INR,1347.31,22,0,29640.82,27500.0,0.0,2140.82,7.22
13,EMP002,Apr,2023,Billable,USD,12.82,12,10,102149.76,137416.67,62462.12,-35266.91,
14,EMP002,May,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
15,EMP002,Jun,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
16,EMP002,Jul,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
17,EMP002,Aug,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
18,EMP002,Sep,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
19,EMP002,Oct,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
20,EMP002,Nov,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
21,EMP002,Dec,2023,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
22,EMP002,Jan,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
23,EMP002,Feb,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
24,EMP002,Mar,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
25,EMP002,Apr,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
26,EMP002,May,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
27,EMP002,Jun,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
28,EMP002,Jul,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
29,EMP002,Aug,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
30,EMP002,Sep,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
31,EMP002,Oct,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
32,EMP002,Nov,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
33,EMP002,Dec,2024,Billable,USD,12.82,22,0,187274.56,137416.67,0.0,49857.89,26.62
34,EMP003,Sep,2023,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
35,EMP003,Oct,2023,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
36,EMP003,Nov,2023,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
37,EMP003,Dec,2023,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
38,EMP003,Jan,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
39,EMP003,Feb,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
40,EMP003,Mar,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
41,EMP003,Apr,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
42,EMP003,May,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
43,EMP003,Jun,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
44,EMP003,Jul,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
45,EMP003,Aug,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
46,EMP003,Sep,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
47,EMP003,Oct,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
48,EMP003,Nov,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
49,EMP003,Dec,2024,Billable,INR,2985.79,22,0,65687.38,45166.67,0.0,20520.71,31.24
50,EMP004,Sep,2023,Billable,INR,4231.92,2,20,8463.84,56250.0,51136.36,-47786.16,
51,EMP004,Oct,2023,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
52,EMP004,Nov,2023,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
53,EMP004,Dec,2023,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
54,EMP004,Jan,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
55,EMP004,Feb,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
56,EMP004,Mar,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
57,EMP004,Apr,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
58,EMP004,May,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
59,EMP004,Jun,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
60,EMP004,Jul,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
61,EMP004,Aug,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
62,EMP004,Sep,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
63,EMP004,Oct,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
64,EMP004,Nov,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
65,EMP004,Dec,2024,Billable,INR,4231.92,22,0,93102.24,56250.0,0.0,36852.24,39.58
66,EMP005,Dec,2023,Billable,USD,16.77,21,1,233840.88,138250.0,6284.09,95590.88,40.88
67,EMP005,Jan,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
68,EMP005,Feb,2024,Billable,USD,16.77,17,5,189299.76,138250.0,31420.45,51049.76,26.97
69,EMP005,Mar,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
70,EMP005,Apr,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
71,EMP005,May,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
72,EMP005,Jun,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
73,EMP005,Jul,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
74,EMP005,Aug,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
75,EMP005,Sep,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
76,EMP005,Oct,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
77,EMP005,Nov,2024,Billable,USD,16.77,22,0,244976.16,138250.0,0.0,106726.16,43.57
78,EMP005,Dec,2024,Billable,USD,18.88,22,0,275799.04,138250.0,0.0,137549.04,49.87
79,EMP006,Sep,2023,Billable,USD,27.38,7,15,127262.24,249500.0,170113.64,-122237.76,
80,EMP006,Oct,2023,Billable,USD,27.38,22,0,399967.04,249500.0,0.0,150467.04,37.62
81,EMP006,Nov,2023,Billable,USD,27.38,22,0,399967.04,249500.0,0.0,150467.04,37.62
82,EMP006,Dec,2023,Billable,USD,27.38,22,0,399967.04,249500.0,0.0,150467.04,37.62
83,EMP006,Jan,2024,Billable,USD,27.38,22,0,399967.04,249500.0,0.0,150467.04,37.62
84,EMP006,Feb,2024,Billable,USD,27.38,22,0,399967.04,249500.0,0.0,150467.04,37.62
85,EMP006,Mar,2024,Billable,USD,27.38,22,0,399967.04,249500.0,0.0,150467.04,37.62
